N,a,v,t,a_hat,v_hat,t_hat
10,1.9621923585235754,1.9799090601849993,0.18229328117309032,0.010647316063579732,0.13252701893767105,-0.7704189211815407
10,0.5203612879170927,0.8447270875514189,0.12964374278731966,0.00372926305123554,0.31000494148544594,-0.41721703814112104
10,1.0937997963209392,0.6014888322529865,0.36076931602234374,0.051920196283492995,0.15079374594274186,-0.5344781390101865
10,0.9267089332088345,0.9211741398610926,0.1436214064180412,0.014979427366766345,0.17219739549042173,-0.7709897040288283
10,1.8724431140040552,1.8879050401458597,0.1422303219154591,0.09096263664984094,0.15298372489500728,-0.8195843953521185
10,0.9606556889522899,0.8035688658616028,0.19509240778094697,0.024837020352223498,0.15281381501152522,-0.8521793223352425
10,1.292114810779729,1.623109090332055,0.4862432127886627,0.04930781207852018,0.20778078245948228,-0.3337786471519426
10,0.8841647631156746,0.7564703804329105,0.41685556788210876,0.04865383102927913,0.15511995599064987,-0.6116358456502076
10,0.8583234482982589,0.616707202239889,0.481208496709998,0.09158009650882408,0.1551341378393533,-0.7990534736209359
10,0.9749391138558452,1.521676905492448,0.4595558877480223,0.2094696924969553,0.34727135137306253,0.03460551686684547
10,0.5698771540865086,1.268573247590115,0.11509372643740018,0.07697477337435378,0.3841397690328471,-0.268048536269224
10,1.1561514578155254,0.6807594159678328,0.3743929782560007,0.056479988726319465,0.11236079907114203,-1.235719637768879
10,0.5570265759116575,0.796864706938935,0.11910767613719796,0.05568328372113018,0.30869943353084495,-0.492819423119019
10,1.3903585369146452,0.5879318469204755,0.2723561649387302,0.027014493300986948,0.08029045763807142,-1.8375653693266663
10,1.0210150823254134,1.0052272839771743,0.35730641335615726,0.060623916155583144,0.14894265557542133,-0.6040207097255903
10,1.5359673773890021,1.0038866903688242,0.12422137957519391,0.020148560615297084,0.08161844236026351,-1.3021300273797825
10,0.8012340585101008,1.1215623292051817,0.2643457580758923,0.10584936271636086,0.211963899619473,-0.47009995568023355
10,0.6351732424673129,1.537976473666833,0.10669197100659994,0.030835402356375895,0.3250825141164452,-0.3506120265968607
10,1.0855345902487743,1.6507443497372178,0.3850176330129029,0.043782087922727794,0.18801955516762092,-0.3221561417199755
10,1.888182068029447,1.0796587747618265,0.4844583770837753,0.05293173898802573,0.13566769284928848,-0.5886597805417162
10,0.9325939068624451,0.8305850823922099,0.2669748095755156,0.09675066391609657,0.17664804825562774,-0.3611551077791879
10,0.8454305860611427,0.8731993493876649,0.4293961857595159,0.1478458494465107,0.21265428111874266,-0.27580872302735954
